Earliest Date,Latest Date,Availability,Target,ProdYear,Week Ending
2025-12-15 00:00:00,2025-12-21 00:00:00,83%,85%,2026,Dec 19
2025-12-22 00:00:00,2025-12-28 00:00:00,91%,85%,2026,Dec 26
2025-12-29 00:00:00,2026-01-04 00:00:00,80%,85%,2026,Jan 02
2026-01-05 00:00:00,2026-01-11 00:00:00,69%,85%,2026,Jan 09
2026-01-12 00:00:00,2026-01-18 00:00:00,63%,85%,2026,Jan 16
2026-01-19 00:00:00,2026-01-25 00:00:00,81%,85%,2026,Jan 23
2026-01-26 00:00:00,2026-02-01 00:00:00,78%,85%,2026,Jan 30
2026-02-02 00:00:00,2026-02-08 00:00:00,75%,85%,2026,Feb 06
2026-02-09 00:00:00,2026-02-15 00:00:00,78%,85%,2026,Feb 13
2026-02-16 00:00:00,2026-02-22 00:00:00,68%,85%,2026,Feb 20
