Fleet,Planned,Actual,Compliance,Target,Compliance %,Reasons for Non-Compliance
FL(Diesel),0,0,,0.95,,
DT(Diesel),0,0,,0.95,,
FL BEV,2,2,1,0.95,100.0%,
DT BEV,2,2,1,0.95,100.0%,
HD,5,5,1,0.95,100.0%,
RT,5,5,1,0.95,100.0%,
SR,5,3,0.6,0.95,60.0%,SR0030 Scraped & SR0035 Waiting for engine
UV Emulsion Units,0,0,,0.95,,
Support Equip. Diesel Foreman,0,0,,0.95,,
Support Equip Utility Foreman,6,4,0.66666666666666663,0.95,66.7%,LD0620 Strata breakdown on surface(locked on yard) / LD0624 was not brought in for service.
BEV Batt ,5,5,1,0.95,100.0%,
