Date,Vehicle_Type,Total,Breakdowns,Availability_Pct
Monday Utility Section 16-02-2026,Maverick Double cab,9,2,77.8
Monday Utility Section 16-02-2026,Toyota Landcruiser Minespec,33,4,87.9
Monday Utility Section 16-02-2026,Toyota Landcruiser,2,0,100.0
Monday Utility Section 16-02-2026,Toyota Hilux,2,0,100.0
Monday Utility Section 16-02-2026,Maverick Man lift,4,0,100.0
Monday Utility Section 16-02-2026,Placer dumper,1,0,100.0
Monday Utility Section 16-02-2026,Maverick king Cab c/w Crane,3,0,100.0
Monday Utility Section 16-02-2026,Maverick Single cab Jam Pot,1,0,100.0
Monday Utility Section 16-02-2026,Bird Machine,1,0,100.0
Monday Utility Section 16-02-2026,Bob Cat,2,0,100.0
Monday Utility Section 16-02-2026,Maverick King Cab NO Crane,2,0,100.0
Monday Utility Section 16-02-2026,ROROs,5,1,80.0
Monday Utility Section 16-02-2026,Maverick tropper,1,0,100.0
Monday Utility Section 16-02-2026,TOTAL,66,7,89.4
Tuesday Utility Section 17-02-2026,Maverick Double cab,9,2,77.8
Tuesday Utility Section 17-02-2026,Toyota Landcruiser Minespec,33,2,93.9
Tuesday Utility Section 17-02-2026,Toyota Landcruiser,2,0,100.0
Tuesday Utility Section 17-02-2026,Toyota Hilux,2,0,100.0
Tuesday Utility Section 17-02-2026,Maverick Man lift,4,0,100.0
Tuesday Utility Section 17-02-2026,Placer dumper,1,0,100.0
Tuesday Utility Section 17-02-2026,Maverick king Cab c/w Crane,3,0,100.0
Tuesday Utility Section 17-02-2026,Maverick Single cab Jam Pot,1,0,100.0
Tuesday Utility Section 17-02-2026,Bird Machine,1,0,100.0
Tuesday Utility Section 17-02-2026,Bob Cat,2,0,100.0
Tuesday Utility Section 17-02-2026,Maverick King Cab NO Crane,2,0,100.0
Tuesday Utility Section 17-02-2026,ROROs,5,1,80.0
Tuesday Utility Section 17-02-2026,Maverick tropper,1,0,100.0
Tuesday Utility Section 17-02-2026,TOTAL,66,5,92.4
Wednesday Utility Section 18-02-2026,Maverick Double cab,9,2,77.8
Wednesday Utility Section 18-02-2026,Toyota Landcruiser Minespec,33,2,93.9
Wednesday Utility Section 18-02-2026,Toyota Landcruiser,2,0,100.0
Wednesday Utility Section 18-02-2026,Toyota Hilux,2,1,50.0
Wednesday Utility Section 18-02-2026,Maverick Man lift,4,0,100.0
Wednesday Utility Section 18-02-2026,Placer dumper,1,0,100.0
Wednesday Utility Section 18-02-2026,Maverick king Cab c/w Crane,3,0,100.0
Wednesday Utility Section 18-02-2026,Maverick Single cab Jam Pot,1,0,100.0
Wednesday Utility Section 18-02-2026,Bird Machine,1,0,100.0
Wednesday Utility Section 18-02-2026,Bob Cat,2,0,100.0
Wednesday Utility Section 18-02-2026,Maverick King Cab NO Crane,2,0,100.0
Wednesday Utility Section 18-02-2026,ROROs,5,1,80.0
Wednesday Utility Section 18-02-2026,Maverick tropper,1,0,100.0
Wednesday Utility Section 18-02-2026,TOTAL,66,6,90.9
Thursday Utility Section 19-02-2026,Maverick Double cab,9,2,77.8
Thursday Utility Section 19-02-2026,Toyota Landcruiser Minespec,33,2,93.9
Thursday Utility Section 19-02-2026,Toyota Landcruiser,2,0,100.0
Thursday Utility Section 19-02-2026,Toyota Hilux,2,1,50.0
Thursday Utility Section 19-02-2026,Maverick Man lift,4,0,100.0
Thursday Utility Section 19-02-2026,Placer dumper,1,0,100.0
Thursday Utility Section 19-02-2026,Maverick king Cab c/w Crane,3,0,100.0
Thursday Utility Section 19-02-2026,Maverick Single cab Jam Pot,1,0,100.0
Thursday Utility Section 19-02-2026,Bird Machine,1,0,100.0
Thursday Utility Section 19-02-2026,Bob Cat,2,0,100.0
Thursday Utility Section 19-02-2026,Maverick King Cab NO Crane,2,0,100.0
Thursday Utility Section 19-02-2026,ROROs,5,1,80.0
Thursday Utility Section 19-02-2026,Maverick tropper,1,0,100.0
Thursday Utility Section 19-02-2026,TOTAL,66,6,90.9
Friday Utility Section 20-02-2026,Maverick Double cab,9,2,77.8
Friday Utility Section 20-02-2026,Toyota Landcruiser Minespec,33,1,97.0
Friday Utility Section 20-02-2026,Toyota Landcruiser,2,0,100.0
Friday Utility Section 20-02-2026,Toyota Hilux,2,0,100.0
Friday Utility Section 20-02-2026,Maverick Man lift,4,0,100.0
Friday Utility Section 20-02-2026,Placer dumper,1,0,100.0
Friday Utility Section 20-02-2026,Maverick king Cab c/w Crane,3,0,100.0
Friday Utility Section 20-02-2026,Maverick Single cab Jam Pot,1,0,100.0
Friday Utility Section 20-02-2026,Bird Machine,1,0,100.0
Friday Utility Section 20-02-2026,Bob Cat,2,0,100.0
Friday Utility Section 20-02-2026,Maverick King Cab NO Crane,2,0,100.0
Friday Utility Section 20-02-2026,ROROs,5,1,80.0
Friday Utility Section 20-02-2026,TOTAL,65,4,93.8
