Date,Area_Owner,TMM_No,Model,Status,Remarks,OEM_Assistance
Friday Utility Section 27-02-2026,BEV,LD0375,,Not Available,Clutch / Rear shock - (SOS - EOS),
Friday Utility Section 27-02-2026,Boilermaker,LD0405,,Not Available,Engine commision( No comminication between engine and Machine),No solution from Fermel(Deutz EMR4 upgrade to EMR5)
Friday Utility Section 27-02-2026,Electricians,LD0569,,Partial (72.3%),Puncture - 07:57 - 10:10,
Friday Utility Section 27-02-2026,Construction,LD0574,,Not Available,Not Starting - (SOS - EOS),new Wiring of Cas Level is draining battery
Friday Utility Section 27-02-2026,Construction,LD0606,,Not Available,Hub broken off - (SOS - EOS),Waiting for parts
Friday Utility Section 27-02-2026,Mechanics,LD0607,,Partial (53.8%),Petroman - (09:53 - 13:35),
Friday Utility Section 27-02-2026,Sim 2,LD0622,,Not Available,Transfer box leaking oil - (SOS - EOS),Waiting for Transfer box
Friday Utility Section 27-02-2026,Sampling,UV0074,,Partial (50.6%),Engine cut off / Hydraulic Temp high - (SOS - 09:57),
Friday Utility Section 27-02-2026,Sampling,UV0075,,Not Available,Not Starting/Can bus faulty - (SOS - EOS),
Friday Utility Section 27-02-2026,Logistics,UV0081,,Partial (69.6%),Not starting - (09:21 -11:47),
Friday Utility Section 27-02-2026,Plant Fitter,UV0088,,Not Available,Warnin signs - (SOS -EOS),
Friday Utility Section 27-02-2026,Survey,UV0100,,Partial (0.0%),Tag box - (SOS- 12:54) Strata - (SOS - 11:12),
Friday Utility Section 27-02-2026,Survey,UV0101,,Not Available,Basket & outriggers mulfunctiong - (SOS-EOS),
Friday Utility Section 27-02-2026,Logistics,UV0116,,Not Available,Front axle - (SOS - EOS),Waiting for front axle.
Friday Utility Section 27-02-2026,Logistics,UV0045,,Partial (66.7%),Brakes not realising - (11:20 - 15:00),
