Date,Area_Owner,TMM_No,Model,Status,Remarks,OEM_Assistance
Monday Utility Section 02-03-2026,BEV,LD0375,,Not Available,Clutch / Rear shock - (SOS - EOS),
Monday Utility Section 02-03-2026,Boilermaker,LD0405,,Not Available,Engine commision( No comminication between engine and Machine),No solution from Fermel(Deutz EMR4 upgrade to EMR5)
Monday Utility Section 02-03-2026,Construction,LD0574,,Not Available,Not Starting - (SOS - EOS),new Wiring of Cas Level is draining battery
Monday Utility Section 02-03-2026,Construction,LD0606,,Not Available,Hub broken off - (SOS - EOS),Waiting for parts
Monday Utility Section 02-03-2026,Sim 2,LD0622,,Not Available,Transfer box leaking oil - (SOS - EOS),Waiting for Transfer box
Monday Utility Section 02-03-2026,Sampling,UV0075,,Not Available,Not Starting/Can bus faulty - (SOS - EOS),
Monday Utility Section 02-03-2026,Plant Fitter,UV0088,,Not Available,Warnin signs - (SOS -EOS),
Monday Utility Section 02-03-2026,Survey,UV0101,,Not Available,Basket & outriggers mulfunctiong - (SOS-EOS),
Monday Utility Section 02-03-2026,Logistics,UV0116,,Not Available,Front axle - (SOS - EOS),Waiting for front axle.
Tuesday Utility Section 03-03-2026,BEV,LD0375,,Not Available,Clutch / Rear shock - (SOS - EOS),
Tuesday Utility Section 03-03-2026,Boilermaker,LD0405,,Not Available,Engine commision( No comminication between engine and Machine),No solution from Fermel(Deutz EMR4 upgrade to EMR5)
Tuesday Utility Section 03-03-2026,Main West,LD0520,,Not Available,Not Starting / Warning Signs - ( SOS-EOS),
Tuesday Utility Section 03-03-2026,Central,LD0572,,Not Available,Tag box damaged - (SOS -EOS),
Tuesday Utility Section 03-03-2026,Construction,LD0574,,Not Available,Not Starting - (SOS - EOS),New wiring of Cas Level is draining battery
Tuesday Utility Section 03-03-2026,Construction,LD0606,,Not Available,Hub broken off - (SOS - EOS),Waiting for parts
Tuesday Utility Section 03-03-2026,Sim 2,LD0622,,Not Available,Transfer box leaking oil - (SOS - EOS),Waiting for Transfer box
Tuesday Utility Section 03-03-2026,Sampling,UV0075,,Not Available,Not Starting/Can bus faulty - (SOS - EOS),
Tuesday Utility Section 03-03-2026,Logistics,UV0078,,Not Available,Steering cylinder bush - (SOS - EOS),waiting for part
Tuesday Utility Section 03-03-2026,Survey,UV0101,,Not Available,Bucket /stabilizers Mulfunctioning - (SOS - EOS),Waiting for SC50
Tuesday Utility Section 03-03-2026,Logistics,UV0116,,Not Available,Front axle - (SOS - EOS),Waiting for front axle.
Wednesday Utility Section 04-03-2026,BEV,LD0375,,Not Available,Clutch / Rear shock - (SOS - EOS),
Wednesday Utility Section 04-03-2026,Boilermaker,LD0405,,Not Available,Engine commision( No comminication between engine and Machine),No solution from Fermel(Deutz EMR4 upgrade to EMR5)
Wednesday Utility Section 04-03-2026,Main West,LD0520,,Not Available,Not Starting / Warning Signs - ( SOS-EOS),
Wednesday Utility Section 04-03-2026,Central,LD0572,,Not Available,Tag box damaged - (SOS -EOS),Reported to petroman technician
Wednesday Utility Section 04-03-2026,Construction,LD0574,,Not Available,Not Starting - (SOS - EOS),New wiring of Cas Level is draining battery
Wednesday Utility Section 04-03-2026,Construction,LD0606,,Not Available,Hub broken off - (SOS - EOS),Waiting for parts
Wednesday Utility Section 04-03-2026,Sim 2,LD0622,,Not Available,Transfer box leaking oil - (SOS - EOS),Waiting for Transfer box
Wednesday Utility Section 04-03-2026,Sampling,UV0075,,Not Available,Not Starting/Canbus faulty - (SOS - EOS),
Wednesday Utility Section 04-03-2026,Logistics,UV0078,,Not Available,Steering cylinder bush - (SOS - EOS),waiting for part
Wednesday Utility Section 04-03-2026,Logistics,UV0081,,Not Available,Not selecting gears - (09:09 - EOS),
Wednesday Utility Section 04-03-2026,Survey,UV0101,,Not Available,Bucket /stabilizers Mulfunctioning - (SOS - EOS),Waiting for SC50
Wednesday Utility Section 04-03-2026,Logistics,UV0116,,Not Available,Front axle - (SOS - EOS),Waiting for front axle.
Thursday Utility Section 05-03-2026,BEV,LD0375,,Not Available,Clutch / Rear shock - (SOS - EOS),
Thursday Utility Section 05-03-2026,Boilermaker,LD0405,,Not Available,Engine commision( No comminication between engine and Machine),No solution from Fermel(Deutz EMR4 upgrade to EMR5)
Thursday Utility Section 05-03-2026,Main West,LD0520,,Not Available,Not Starting / Warning Signs - ( SOS-EOS),
Thursday Utility Section 05-03-2026,Drill Shop,LD0568,,Not Available,Lost keys - (SOS - EOS),
Thursday Utility Section 05-03-2026,Central,LD0572,,Not Available,Tag box damaged - (SOS -EOS),Reported to petroman technician
Thursday Utility Section 05-03-2026,Construction,LD0574,,Not Available,Not Starting - (SOS - EOS),New wiring of Cas Level is draining battery
Thursday Utility Section 05-03-2026,Traimming,LD0608,,Not Available,Park brake - (SOS - EOS),
Thursday Utility Section 05-03-2026,Sim 2,LD0622,,Not Available,Transfer box leaking oil - (SOS - EOS),Waiting for Transfer box
Thursday Utility Section 05-03-2026,Drill Shop,LD0635,,Not Available,CV Joint - (SOS - 14:47),
Thursday Utility Section 05-03-2026,Survey,UV0101,,Not Available,Bucket /stabilizers Mulfunctioning - (SOS - EOS),Waiting for SC50
Thursday Utility Section 05-03-2026,Logistics,UV0116,,Not Available,Front axle - (SOS - EOS),Waiting for front axle.
Friday Utility Section 06-03-2026,BEV,LD0375,,Not Available,Clutch / Rear shock - (SOS - EOS),
